127.0.0.1 - - [05/Mar/2024:14:34:29 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:48:51 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084151 HTTP/1.1" 200 16694
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:48:51 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084152 HTTP/1.1" 200 34752
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:48:51 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084153 HTTP/1.1" 200 48613
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:48:51 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084157 HTTP/1.1" 200 13987
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:48:51 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084156 HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:48:51 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084155 HTTP/1.1" 200 18922
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:48:51 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084154 HTTP/1.1" 200 48989
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:48:51 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084158 HTTP/1.1" 200 37121
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:48:51 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084159 HTTP/1.1" 200 23693
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:48:51 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084160 HTTP/1.1" 200 22883
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:48:51 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084161 HTTP/1.1" 200 14509
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:48:51 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084162 HTTP/1.1" 200 7736
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:49:01 +0630] "GET /shopping-cart/shippedItems.jsp HTTP/1.1" 200 7702
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:49:04 +0630] "GET /shopping-cart/unshippedItems.jsp HTTP/1.1" 200 8903
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:49:54 +0630] "GET /shopping-cart/ShipmentServlet?orderid=T20240305024303&amount=40990.0&userid=kaungmyathtun81@gmail.com&prodid=P20230423083830 HTTP/1.1" 200 8181
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:50:19 +0630] "GET /shopping-cart/shippedItems.jsp HTTP/1.1" 200 8078
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:50:21 +0630] "GET /shopping-cart/unshippedItems.jsp HTTP/1.1" 200 8408
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:51:08 +0630] "GET /shopping-cart/addProduct.jsp HTTP/1.1" 200 9309
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:51:19 +0630] "GET /shopping-cart/updateProductById.jsp HTTP/1.1" 200 7804
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:51:31 +0630] "POST /shopping-cart/updateProduct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:51:31 +0630] "GET /shopping-cart/updateProductById.jsp?message=Please%20Enter%20a%20valid%20product%20Id HTTP/1.1" 200 7892
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:51:35 +0630] "GET /shopping-cart/removeProduct.jsp HTTP/1.1" 200 7807
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:00 +0630] "GET /shopping-cart/updateProductById.jsp HTTP/1.1" 200 7804
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:02 +0630] "POST /shopping-cart/updateProduct.jsp HTTP/1.1" 200 9680
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:02 +0630] "GET /shopping-cart/ShowImage?pid=P20230423082243 HTTP/1.1" 200 96902
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:18 +0630] "GET /shopping-cart/removeProduct.jsp HTTP/1.1" 200 7807
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:22 +0630] "POST /shopping-cart/RemoveProductSrv HTTP/1.1" 200 8045
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/adminViewProduct.jsp HTTP/1.1" 200 33191
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423083830 HTTP/1.1" 200 21798
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423082243 HTTP/1.1" 200 96902
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084143 HTTP/1.1" 200 21915
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084144 HTTP/1.1" 200 20420
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084147 HTTP/1.1" 200 8000
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084145 HTTP/1.1" 200 19444
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084148 HTTP/1.1" 200 31791
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084146 HTTP/1.1" 200 30013
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084150 HTTP/1.1" 200 21481
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084149 HTTP/1.1" 200 65614
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084151 HTTP/1.1" 200 16694
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084152 HTTP/1.1" 200 34752
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084154 HTTP/1.1" 200 48989
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084153 HTTP/1.1" 200 48613
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084156 HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084155 HTTP/1.1" 200 18922
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084157 HTTP/1.1" 200 13987
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084158 HTTP/1.1" 200 37121
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084161 HTTP/1.1" 200 14509
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084162 HTTP/1.1" 200 7736
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084160 HTTP/1.1" 200 22883
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:27 +0630] "GET /shopping-cart/ShowImage?pid=P20230423084159 HTTP/1.1" 200 23693
0:0:0:0:0:0:0:1 - - [05/Mar/2024:14:52:33 +0630] "GET /shopping-cart/LogoutSrv HTTP/1.1" 200 7647
